127.0.0.1 - - [20/Nov/2015:00:51:10 -0500] "GET / HTTP/1.1" 404 994
192.168.10.110 - - [20/Nov/2015:00:52:03 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:00:53:05 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:14:13 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:14:37 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:16:28 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:18:08 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:25:28 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:26:56 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:27:13 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:40:26 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:48:17 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:01:59:42 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:02:05:54 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:02:07:25 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:02:08:19 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:02:16:09 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:02:17:15 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:02:26:17 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
192.168.10.110 - - [20/Nov/2015:02:34:02 -0500] "GET /Rideable/ride/user/a.a@a.com HTTP/1.1" 200 89
